ID,Type,Name,Value,Priority
0,S,Main_Grid,200000.0,0
1,L,Device_1,225.41,2
2,L,Device_2,182.16,1
3,L,,100,3
4,S,Device_4,1744.25,0
5,L,Device_5,197.37,1
6,L,Device_6,170.5,3
7,L,Device_7,185.85,3
8,L,Device_8,191.67,2
9,L,Device_9,211.2,3
10,L,Device_10,199.71,3
11,L,Device_11,248.45,1
12,L,Device_12,233.62,3
13,L,Device_13,241.52,2
14,L,Device_14,268.43,3
15,L,Device_15,167.71,1
16,L,Device_16,290.67,3
17,L,Device_17,235.82,3
18,L,Device_18,203.51,3
19,L,Device_19,181.15,3
20,L,Device_20,161.18,1
21,L,Device_21,193.88,2
22,L,Device_22,202.82,2
23,,Device_23,100,3
24,L,Device_24,139.89,3
25,L,Device_25,262.13,3
26,L,Device_26,192.9,3
27,L,Device_27,222.46,3
28,L,Device_28,113.41,1
29,L,Device_29,175.26,2
30,L,Device_30,205.31,1
31,L,Device_31,186.3,2
32,L,Device_32,220.58,2
33,L,Device_33,237.13,3
34,L,Device_34,190.0,1
35,L,Device_35,170.97,1
36,L,Device_36,121.12,1
37,L,Device_37,250.67,1
38,L,Device_38,194.41,2
39,L,Device_39,125.23,1
40,L,Device_40,220.89,1
41,L,Device_41,175.99,1
42,L,Device_42,208.6,3
43,L,Device_43,214.28,1
44,L,Device_44,288.25,1
45,L,Device_45,194.59,3
46,L,Device_46,240.23,3
47,L,Device_47,295.24,3
48,L,Device_48,113.52,3
49,L,Device_49,152.01,1
50,L,,100,3
51,L,Device_51,142.21,2
52,L,Device_52,201.95,1
53,L,Device_53,214.7,2
54,L,Device_54,242.27,1
55,L,Device_55,233.54,1
56,L,Device_56,289.88,3
57,L,Device_57,141.73,3
58,L,Device_58,190.52,3
59,L,Device_59,296.39,1
60,L,Device_60,209.74,1
61,L,Device_61,156.75,1
62,L,Device_62,135.04,1
63,L,Device_63,198.22,1
64,L,Device_64,121.35,3
65,L,Device_65,192.25,1
66,L,Device_66,200.51,1
67,L,Device_67,190.19,1
68,L,Device_68,259.86,3
69,L,Device_69,220.83,1
70,L,Device_70,208.83,3
71,L,Device_71,,3
72,L,Device_72,236.8,3
73,L,Device_73,160.84,3
74,L,Device_74,296.7,2
75,S,Device_75,1446.18,0
76,L,Device_76,132.49,1
77,L,Device_77,220.86,1
78,L,Device_78,154.05,1
79,L,Device_79,232.91,3
80,L,Device_80,176.94,1
81,S,Device_81,1582.84,0
82,L,Device_82,167.41,3
83,L,Device_83,166.86,2
84,L,Device_84,184.98,1
85,L,Device_85,234.84,2
86,L,Device_86,246.08,1
87,S,Device_87,1396.85,0
88,L,Device_88,252.87,3
89,L,Device_89,253.54,1
90,L,Device_90,201.79,2
91,L,Device_91,183.23,2
92,L,Device_92,168.23,1
93,L,Device_93,129.19,1
94,L,Device_94,186.66,1
95,L,Device_95,185.0,3
96,S,Device_96,1290.32,0
97,L,Device_97,178.53,3
98,L,Device_98,260.86,1
99,L,Device_99,200.29,3
100,L,Device_100,95.18,1
